Bengali,English
আসিফ,Asif
আছিফ,Asif
আসীফ,Asif
কাদেরিয়া,Kaderiya
কাদেরীয়া,Kaderiya
কাদরিয়া,Kaderiya
রহিম,Rahim
আমিনা,Amina
জমিলা,Jamila
ফয়সাল,Faysal
মোহাম্মদ,Mohammad
আহমদ,Ahmad
আহমেদ,Ahmed
হাসান,Hassan
হোসেন,Hossain
নাজমুল,Nazmul
নাসিম,Nasim
সালমান,Salman
ফারহানা,Farhana
ফাতিমা,Fatima
সাদিয়া,Sadia
সাবরিনা,Sabrina
রাফিয়া,Rafia
শামিমা,Shamima
জাহিদ,Zahid
শাহরিয়ার,Shahriar
জাকারিয়া,Zakariya
রিয়াদ,Riyad
সুমাইয়া,Sumaiya
আসিয়া,Asiya
শোকরিয়া,Shokriya
রাজিয়া,Rajiya
তানিয়া,Tania
রহমান,Rahman
আলি,Ali
বাংলা,Bangla
মুহাম্মদ,Muhammad
আবদুল্লাহ,Abdullah
ইকবাল,Iqbal
নূর,Nur
করিম,Karim
